"","RPKM","LEVEL1","DEPTH"
"433",27.4944784,"Degradation","SRF"
"434",27.4944784,"Degradation","SRF"
"435",2.1506056,"Biosynthesis","SRF"
"436",3.2660689,"Biosynthesis","SRF"
"437",2.2030342,"Degradation","SRF"
"438",2.3020514,"Degradation","SRF"
"439",1.8264484,"Degradation","SRF"
"440",0.6529813,"Biosynthesis","SRF"
"441",4.914013,"Biosynthesis","SRF"
"442",2.7422499,"Energy-Metabolism","SRF"
"443",1.2088667,"Biosynthesis","SRF"
"444",3.5332897,"Biosynthesis","SRF"
"445",1.9293678,"Biosynthesis","SRF"
"446",1.9293678,"Biosynthesis","SRF"
"447",40.4534729,"Biosynthesis","SRF"
"448",17.5458383,"Biosynthesis","SRF"
"449",1.6296267,"Biosynthesis","SRF"
"450",16.5567855,"Metabolic-Clusters","SRF"
"451",6.2893164,"Degradation","SRF"
"452",28.1868373,"Biosynthesis","SRF"
"453",6.7918577,"Biosynthesis","SRF"
"454",15.926241,"Biosynthesis","SRF"
"455",8.8711581,"Biosynthesis","SRF"
"456",7.632797,"Biosynthesis","SRF"
"457",7.3079125,"Biosynthesis","SRF"
"458",7.1280794,"Biosynthesis","SRF"
"459",11.7266084,"Biosynthesis","SRF"
"460",7.8346744,"Degradation","SRF"
"461",24.4850132,"Energy-Metabolism","SRF"
"462",17.3138911,"Degradation","SRF"
"463",16.77274111,"Biosynthesis","SRF"
"464",18.07679011,"Biosynthesis","SRF"
"465",15.633877,"Biosynthesis","SRF"
"466",22.1623486,"Biosynthesis","SRF"
"467",14.3336106,"Biosynthesis","SRF"
"468",13.5937216,"Biosynthesis","SRF"
"469",11.73827919,"Biosynthesis","SRF"
"470",10.85443764,"Biosynthesis","SRF"
"471",12.1329281,"Degradation","SRF"
"472",327.1529905,"Degradation","SRF"
"473",15.8883956,"Biosynthesis","SRF"
"474",9.4678177,"Biosynthesis","SRF"
"475",2.7845917,"Biosynthesis","SRF"
"476",31.3036,"Energy-Metabolism","SRF"
"477",4.98374224,"Energy-Metabolism","SRF"
"478",15.9035006,"Biosynthesis","SRF"
"479",14.3641537,"Degradation","SRF"
"480",23.3827784,"Detoxification","SRF"
"481",24.37334785,"Biosynthesis","SRF"
"482",41.7728006,"Biosynthesis","SRF"
"483",41.7728006,"Biosynthesis","SRF"
"484",5.3631597,"Degradation","SRF"
"485",0.0202858,"Biosynthesis","SRF"
"486",39.53331666,"Energy-Metabolism","SRF"
"487",21.5297525,"Biosynthesis","SRF"
"488",10.817288,"Biosynthesis","SRF"
"489",47.8351731,"Biosynthesis","SRF"
"490",47.2889666,"Biosynthesis","SRF"
"491",269.3209937,"Biosynthesis","SRF"
"492",64.96615681,"Biosynthesis","SRF"
"493",22.4785191,"Biosynthesis","SRF"
"494",32.77506224,"Biosynthesis","SRF"
"495",234.2099708,"Degradation","SRF"
"496",234.2674374,"Degradation","SRF"
"497",234.3758124,"Biosynthesis","SRF"
"498",33.68457984,"Biosynthesis","SRF"
"499",89.1865014,"Biosynthesis","SRF"
"500",4.1592528,"Degradation","SRF"
"501",105.5032596,"Biosynthesis","SRF"
"502",106.577417,"Biosynthesis","SRF"
"503",230.334493,"Energy-Metabolism","SRF"
"504",964.7095107,"Biosynthesis","SRF"
"505",1608.474599,"Biosynthesis","SRF"
"506",1611.810854,"Biosynthesis","SRF"
"507",1612.633852,"Biosynthesis","SRF"
"508",2409.713119,"Biosynthesis","SRF"
"509",2409.713119,"Biosynthesis","SRF"
"510",1859.03822,"Biosynthesis","SRF"
"511",1.48831,"Biosynthesis","DCM"
"512",0.023824,"Biosynthesis","DCM"
"513",0.0345606,"Degradation","DCM"
"514",0.117283,"Biosynthesis","DCM"
"515",0.206358,"Degradation","DCM"
"516",0.262543,"Degradation","DCM"
"517",0.218285,"Biosynthesis","DCM"
"518",0.677767,"Degradation","DCM"
"519",0.677767,"Degradation","DCM"
"520",4.4096,"Biosynthesis","DCM"
"521",0.539826,"Degradation","DCM"
"522",0.198094,"Degradation","DCM"
"523",0.111237,"Degradation","DCM"
"524",0.326664,"Biosynthesis","DCM"
"525",0.859643,"Biosynthesis","DCM"
"526",0.555634,"Biosynthesis","DCM"
"527",2.75938,"Degradation","DCM"
"528",0.0125919,"Degradation","DCM"
"529",0.379463,"Degradation","DCM"
"530",0.252588,"Degradation","DCM"
"531",0.218285,"Biosynthesis","DCM"
"532",0.0341781,"Degradation","DCM"
"533",1.12618,"Biosynthesis","DCM"
"534",0.0289873,"Degradation","DCM"
"535",0.677767,"Degradation","DCM"
"536",0.295833,"Biosynthesis","DCM"
"537",0.0562096,"Biosynthesis","DCM"
"538",0.0345606,"Degradation","DCM"
"539",0.873905,"Biosynthesis","DCM"
"540",0.0396419,"Degradation","DCM"
"541",5.77073,"Biosynthesis","DCM"
"542",0.247377,"Degradation","DCM"
"543",0.295833,"Biosynthesis","DCM"
"544",0.1563208,"Biosynthesis","DCM"
"545",2.2016019,"Biosynthesis","DCM"
"546",0.904157,"Energy-Metabolism","DCM"
"547",2.5565146,"Degradation","DCM"
"548",0.0802164,"Biosynthesis","DCM"
"549",0.216247,"Biosynthesis","DCM"
"550",0.792414,"Degradation","DCM"
"551",0.0423957,"Degradation","DCM"
"552",0.2568908,"Degradation","DCM"
"553",0.0664593,"Biosynthesis","DCM"
"554",0.931209,"Detoxification","DCM"
"555",2.870489,"Degradation","DCM"
"556",0.122108,"Biosynthesis","DCM"
"557",2.2094747,"Biosynthesis","DCM"
"558",1.4973138,"Degradation","DCM"
"559",0.0532827,"Degradation","DCM"
"560",0.0532827,"Degradation","DCM"
"561",0.1819157,"Degradation","DCM"
"562",26.0550814,"Biosynthesis","DCM"
"563",2.1937791,"Degradation","DCM"
"564",0.3065188,"Biosynthesis","DCM"
"565",0.247377,"Degradation","DCM"
"566",2.485444,"Energy-Metabolism","DCM"
"567",26.0550814,"Degradation","DCM"
"568",2.2701179,"Biosynthesis","DCM"
"569",1.18163635,"Degradation","DCM"
"570",1.333821,"Degradation","DCM"
"571",2.17839,"Degradation","DCM"
"572",0.1989452,"Biosynthesis","DCM"
"573",0.3065188,"Biosynthesis","DCM"
"574",0.328347,"Degradation","DCM"
"575",0.3006597,"Degradation","DCM"
"576",0.3006597,"Degradation","DCM"
"577",0.3006597,"Degradation","DCM"
"578",1.08206,"Energy-Metabolism","DCM"
"579",1.754951,"Biosynthesis","DCM"
"580",11.7208758,"Biosynthesis","DCM"
"581",26.0923735,"Degradation","DCM"
"582",26.089642,"Degradation","DCM"
"583",2.5583476,"Energy-Metabolism","DCM"
"584",0.541381,"Biosynthesis","DCM"
"585",9.787694,"Biosynthesis","DCM"
"586",9.787694,"Degradation","DCM"
"587",0.7785919,"Biosynthesis","DCM"
"588",0.9863123,"Energy-Metabolism","DCM"
"589",2.356453,"Biosynthesis","DCM"
"590",0.1852176,"Degradation","DCM"
"591",4.7468913,"Biosynthesis","DCM"
"592",10.097793,"Degradation","DCM"
"593",2.0094984,"Biosynthesis","DCM"
"594",1.9630718,"Biosynthesis","DCM"
"595",0.6551975,"Biosynthesis","DCM"
"596",0.0440066,"Biosynthesis","DCM"
"597",3.5067441,"Biosynthesis","DCM"
"598",0.6384982,"Biosynthesis","DCM"
"599",3.10331,"Biosynthesis","DCM"
"600",3.10331,"Biosynthesis","DCM"
"601",0.4067844,"Degradation","DCM"
"602",2.1836308,"Biosynthesis","DCM"
"603",26.5245054,"Degradation","DCM"
"604",26.5245054,"Degradation","DCM"
"605",3.1630985,"Biosynthesis","DCM"
"606",6.19131535,"Biosynthesis","DCM"
"607",3.4329512,"Degradation","DCM"
"608",2.9139549,"Degradation","DCM"
"609",1.3701946,"Degradation","DCM"
"610",0.7070278,"Biosynthesis","DCM"
"611",7.5938669,"Biosynthesis","DCM"
"612",1.8261221,"Energy-Metabolism","DCM"
"613",1.3476164,"Biosynthesis","DCM"
"614",2.3454134,"Biosynthesis","DCM"
"615",1.568104,"Biosynthesis","DCM"
"616",1.568104,"Biosynthesis","DCM"
"617",40.6825063,"Biosynthesis","DCM"
"618",18.5794427,"Biosynthesis","DCM"
"619",3.2918613,"Biosynthesis","DCM"
"620",20.2157154,"Metabolic-Clusters","DCM"
"621",7.0939083,"Degradation","DCM"
"622",30.5195787,"Biosynthesis","DCM"
"623",8.8498337,"Biosynthesis","DCM"
"624",21.4591455,"Biosynthesis","DCM"
"625",10.2604814,"Biosynthesis","DCM"
"626",9.1554867,"Biosynthesis","DCM"
"627",9.3159586,"Biosynthesis","DCM"
"628",7.9005963,"Biosynthesis","DCM"
"629",14.4886761,"Biosynthesis","DCM"
"630",11.923921,"Degradation","DCM"
"631",27.36298645,"Energy-Metabolism","DCM"
"632",13.3278447,"Degradation","DCM"
"633",15.578986,"Biosynthesis","DCM"
"634",17.001494,"Biosynthesis","DCM"
"635",10.0311363,"Biosynthesis","DCM"
"636",27.73491031,"Biosynthesis","DCM"
"637",17.9503439,"Biosynthesis","DCM"
